"seed","family","specialist_regime_id","regime_key","status","gate_pass","final_selected_type","ga_candidate_source","ga_candidate_protected_elite","ga_rel_improvement_q95","ga_rel_improvement_mean","profile_audit_gate_pass","global_audit_gate_pass","global_audit_interpretation","source_file"
"seed202","lognormal","REG03","lognormal | right_skewed | heavy_right_tail | upper_tail | clustered | extreme | low_scale","evaluated",FALSE,"benchmark","protected_previous_stage_elite",TRUE,-0.452030967052541,-0.386616817683211,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/lognormal/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","weibull","REG01","weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | tail_outlier | moderate | extreme_scale","evaluated",FALSE,"benchmark","current_specialist_finalist",FALSE,-0.0269140128695268,0.0231040092103456,TRUE,TRUE,"profile_only_unexpected","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/weibull/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","weibull","REG02","weibull | right_skewed_flexible_shape | flexible_tail | point_mass | point_mass | moderate | extreme_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.236134009354931,0.29060334215157,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/weibull/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","weibull","REG03","weibull | right_skewed_flexible_shape | flexible_tail | upper_tail | clustered | high | mid_high_scale","evaluated",FALSE,"benchmark","current_specialist_finalist",FALSE,-2.27317568586189,-5.34389969498722,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/weibull/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","invgauss","REG01","invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | moderate | mid_high_scale","evaluated",FALSE,"benchmark","current_specialist_finalist",FALSE,-1.47709174784702,-2.41640871292529,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/invgauss/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","invgauss","REG02","invgauss | right_skewed_duration | heavy_right_tail | point_mass | point_mass | moderate | mid_high_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.0532128413507237,0.175319572828388,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/invgauss/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","invgauss","REG03","invgauss | right_skewed_duration | heavy_right_tail | upper_tail | tail_outlier | high | low_scale","evaluated",TRUE,"ga_composite","protected_previous_stage_elite",TRUE,0.0833759757127517,0.175893335047444,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/invgauss/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","exgaussian","REG01","exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | symmetric | heavy_tailed_t | low | mid_high_scale","evaluated",FALSE,"benchmark","current_specialist_finalist",FALSE,0.00397897047239336,-0.00386616891718006,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/exgaussian/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","exgaussian","REG02","exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | symmetric | clustered | high | mid_high_scale","evaluated",FALSE,"benchmark","current_specialist_finalist",FALSE,-0.0210105265138232,-0.0124965650706042,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/exgaussian/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","exgaussian","REG03","exgaussian | gaussian_core_right_skewed_tail | exponential_right_tail | symmetric | clustered | low | extreme_scale","evaluated",FALSE,"benchmark","current_specialist_finalist",FALSE,-0.00664372991241506,-0.0844034906768607,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/exgaussian/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","exwald","REG01","exwald | first_passage_right_skewed | heavy_first_passage_tail | upper_tail | clustered | extreme | low_scale","evaluated",FALSE,"benchmark","current_specialist_finalist",FALSE,0.000943504967884839,-0.12890465058589,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/exwald/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","exwald","REG02","exwald | first_passage_right_skewed | heavy_first_passage_tail | upper_tail | clustered | moderate | extreme_scale","evaluated",FALSE,"benchmark","current_specialist_finalist",FALSE,-0.430986308103505,-0.482837119402861,FALSE,FALSE,"benchmark_dominant_local_and_profile","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/exwald/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
"seed202","exwald","REG03","exwald | first_passage_right_skewed | heavy_first_passage_tail | point_mass | point_mass | moderate | extreme_scale","evaluated",TRUE,"ga_composite","current_specialist_finalist",FALSE,0.206156274523984,0.247784155499269,FALSE,FALSE,"regime_specific_profile_no_free_lunch","/srv/cluster/ga_project/results/GA_REGIME_FIRST_MULTI_SEED_20260606_125040/GA_REGIME_FIRST_20260609_005515/exwald/REGIME_FIRST_WINNER_SUMMARY__seed202.csv"
